_names_1	_names_2
1007000003	anthropogenic feature
1007000003	anthropogenic features
1007000003	ENVO:00000002
1007000003	man-made structures
1007000003	man-made structureses
1007000013	eddy
1007000013	ENVO:00000012
1007000013	fluvial feature
1007000013	fluvial features
1007000013	hydrographic feature
1007000013	hydrographic features
1007000013	tidal ripp
1007000013	tidal ripps
1007000014	cave system
1007000014	cave systems
1007000014	ENVO:00000013
1007000015	canal
1007000015	canal bend
1007000015	canal bends
1007000015	canalic
1007000015	canals
1007000015	ENVO:00000014
1007000016	closed sea
1007000016	closed seal
1007000016	closed seas
1007000016	ENVO:00000447
1007000016	marine bulk water
1007000016	marine bulk waters
1007000016	marine feature
1007000016	marine features
1007000016	ocean
1007000016	ocean basin
1007000016	ocean basins
1007000016	ocean biome
1007000016	ocean current
1007000016	ocean currents
1007000016	ocean region
1007000016	ocean regional
1007000016	ocean regions
1007000016	ocean water
1007000016	ocean waters
1007000016	oceanic
1007000016	oceanic front
1007000016	oceanic fronts
1007000016	oceanic gyre
1007000016	oceanic gyres
1007000016	oceanic zone
1007000016	oceanics
1007000016	OceanLayer
1007000016	OceanLayers
1007000016	oceans
1007000016	oceans
1007000016	offshore area
1007000016	offshore areal
1007000016	offshore areas
1007000016	open sea
1007000016	open seal
1007000016	open seas
1007000016	sea
1007000016	seaways
1007000016	tideway
1007000016	tideways
1007000017	ENVO:00002030
1007000017	open sound
1007000017	open sounds
1007000017	open water
1007000017	open water
1007000017	open waters
1007000017	open waters
1007000017	water courses
1007000017	water courseses
1007000017	water gap
1007000017	water gapic
1007000017	water gaps
1007000017	watercourse
1007000017	watercourses
1007000017	waterway
1007000017	waterways
1007000018	ENVO:00000017
1007000018	saline hydrographic feature
1007000018	saline hydrographic features
1007000019	dry river
1007000019	dry rivers
1007000019	ENVO:00000018
1007000020	ENVO:00000019
1007000020	salina
1007000020	salinal
1007000020	salinas
1007000020	saline lake
1007000020	saline lakes
1007000020	salt lake
1007000020	salt lakes
1007000020	salt lakeses
1007000021	catch basin
1007000021	catch basins
1007000021	ENVO:00000020
1007000021	lake
1007000021	lakes
1007000021	lakeses
1007000021	llyn
1007000021	loch
1007000021	lochan
1007000021	lochanic
1007000021	lochans
1007000021	lough
1007000021	loughs
1007000021	mortlake
1007000021	mortlakes
1007000021	pasteuer lake
1007000021	pasteuer lakes
1007000022	ENVO:00000021
1007000022	freshwater lake
1007000022	freshwater lakes
1007000023	braided river
1007000023	braided rivers
1007000023	ENVO:01000253
1007000023	rio
1007000023	river
1007000023	riverine
1007000023	riverines
1007000023	riverinous
1007000023	rivers
1007000023	riverses
1007000024	braided stream
1007000024	braided streamic
1007000024	braided streams
1007000024	brook
1007000024	brooks
1007000024	burn (hydrographic)
1007000024	Creek
1007000024	Creeks
1007000024	ENVO:00000023
1007000024	glacial stream
1007000024	glacial streamic
1007000024	glacial streams
1007000024	millstream
1007000024	millstreamic
1007000024	millstreams
1007000024	rivulet
1007000024	rivulets
1007000024	runnel
1007000024	runnels
1007000024	spillway
1007000024	spillways
1007000024	stream
1007000024	stream bend
1007000024	stream bends
1007000024	streamic
1007000024	streams
1007000024	streamses
1007000024	streamsic
1007000026	covered reservoir
1007000026	covered reservoirs
1007000026	ENVO:00000025
1007000026	reservoir
1007000026	reservoirs
1007000027	brine well
1007000027	brine wells
1007000027	ENVO:00000026
1007000027	wells
1007000027	wellses
1007000029	ENVO:00000028
1007000029	sand pit
1007000029	sand pit quarries
1007000029	sand pit quarry
1007000029	sand pits
1007000031	dead cave
1007000031	dead caves
1007000031	dry cave
1007000031	dry caves
1007000031	ENVO:00000067
1007000032	arroyo
1007000032	arroyos
1007000032	ENVO:00000031
1007000032	nullah
1007000032	nullahic
1007000032	nullahs
1007000032	wadi
1007000032	wadi bend
1007000032	wadi bends
1007000032	wadi junction
1007000032	wadi junctional
1007000032	wadi junctions
1007000032	wadis
1007000032	wadises
1007000033	Baie
1007000033	bay
1007000033	bays
1007000033	embayment
1007000033	embayments
1007000033	ENVO:00000032
1007000033	sea loch
1007000033	sea loches
1007000033	sea lough
1007000033	sea loughs
1007000034	ENVO:00000033
1007000034	millpond
1007000034	millponds
1007000034	pond
1007000034	ponds
1007000034	pondses
1007000035	ENVO:00000034
1007000035	rapids
1007000035	rapidses
1007000035	torrent
1007000035	torrents
1007000036	back marsh
1007000036	back marshes
1007000036	back marshic
1007000036	backswamp
1007000036	backswampic
1007000036	backswamps
1007000036	ENVO:00000035
1007000036	marsh
1007000036	marshes
1007000036	marshic
1007000036	marshies
1007000036	marshland
1007000036	marshlandic
1007000036	marshlands
1007000036	marshy
1007000036	marshy areas
1007000036	marshy areases
1007000036	marshy areasic
1007000037	ENVO:00000036
1007000037	irrigation canal
1007000037	irrigation canalic
1007000037	irrigation canals
1007000039	barrier lagoon
1007000039	barrier lagoonal
1007000039	barrier lagoons
1007000039	ENVO:00000038
1007000039	lagoon
1007000039	lagoonal
1007000039	lagoons
1007000039	lagoonses
1007000039	laguna
1007000039	lagunal
1007000039	lagunas
1007000040	ENVO:00000039
1007000040	fiord
1007000040	fiords
1007000040	fjord
1007000040	fjords
1007000040	fjordses
1007000041	cascade
1007000041	cascades
1007000041	cataract
1007000041	cataractic
1007000041	cataracts
1007000041	ENVO:00000040
1007000041	waterfall
1007000041	waterfallic
1007000041	waterfalls
1007000041	waterfallses
1007000041	waterfallsic
1007000042	ENVO:00000041
1007000042	tidal creek
1007000042	tidal creeks
1007000043	drainage canal
1007000043	drainage canalic
1007000043	drainage canals
1007000043	ENVO:00000042
1007000045	ENVO:00000044
1007000045	peat bog
1007000045	peat bogs
1007000045	peatland
1007000045	peatlandic
1007000045	peatlands
1007000045	turf
1007000046	ENVO:01000020
1007000046	estuaries
1007000046	estuarine bulk water
1007000046	estuarine bulk waters
1007000046	estuary
1007000047	ENVO:00000046
1007000047	hedge
1007000047	hedgerow
1007000047	hedgerows
1007000047	hedges
1007000047	shelter belt
1007000047	shelter belts
1007000048	canopies
1007000048	canopy
1007000048	ENVO:00000047
1007000048	treetops
1007000048	treetopses
1007000052	ENVO:00000051
1007000052	hot spring
1007000052	hot springs
1007000052	thermal spring
1007000052	thermal springs
1007000053	caldera lake
1007000053	caldera lakes
1007000053	crater lake
1007000053	crater lakes
1007000053	crater lakeses
1007000053	ENVO:00000052
1007000054	ENVO:00000053
1007000054	freshwater marsh
1007000054	freshwater marshes
1007000054	freshwater marshic
1007000055	ENVO:00000054
1007000055	saline marsh
1007000055	saline marshes
1007000055	saline marshic
1007000055	salt marsh
1007000055	salt marshes
1007000055	salt marshic
1007000055	tidal marsh
1007000055	tidal marshes
1007000055	tidal marshic
1007000056	ENVO:00002010
1007000056	saline evaporation pond
1007000056	saline evaporation ponds
1007000056	salt evaporation pond
1007000056	salt evaporation ponds
1007000056	salt pond
1007000056	salt ponds
1007000056	salt pondses
1007000056	saltern
1007000056	salterns
1007000057	ENVO:00000033
1007000057	fishpond
1007000057	fishponds
1007000057	fishpondses
1007000058	ENVO:01000181
1007000058	mangal
1007000058	mangalic
1007000058	mangals
1007000058	mangrove
1007000058	mangrove biome
1007000058	mangrove island
1007000058	mangrove islandic
1007000058	mangrove islands
1007000058	mangrove swamp
1007000058	mangrove swampic
1007000058	mangrove swamps
1007000058	MangroveForest
1007000058	MangroveForests
1007000058	mangroves
1007000059	ENVO:00000058
1007000059	underground lake
1007000059	underground lakes
1007000060	ENVO:00000059
1007000060	underground river
1007000060	underground rivers
1007000061	ENVO:00000060
1007000061	underground stream
1007000061	underground streamic
1007000061	underground streams
1007000062	ENVO:00000061
1007000062	underground water bodies
1007000062	underground water body
1007000063	ENVO:00000002
1007000063	inhabited place
1007000063	inhabited places
1007000063	inhabited region
1007000063	inhabited regional
1007000063	inhabited regions
1007000063	populated localities
1007000063	populated locality
1007000063	populated place
1007000063	populated places
1007000063	populated placeses
1007000063	settlement
1007000063	settlements
1007000064	aquatic feature
1007000064	aquatic features
1007000064	bodies of water
1007000064	bodies of waters
1007000064	body of water
1007000064	body of waters
1007000064	ENVO:00000063
1007000064	water bodies
1007000064	water body
1007000068	cave
1007000068	cavern
1007000068	caverns
1007000068	caves
1007000068	caveses
1007000068	ENVO:00000067
1007000068	grotto
1007000068	grottoes
1007000069	ENVO:00000068
1007000069	natural tunnel
1007000069	natural tunnels
1007000070	ENVO:00000069
1007000070	stream distributaries
1007000070	stream distributary
1007000072	ENVO:00000071
1007000072	fault caves
1007000073	aquaduct
1007000073	aquaducts
1007000073	aqueduct
1007000073	aqueducts
1007000073	ENVO:00000072
1007000078	areas under cultivation
1007000078	areas under cultivational
1007000078	areas under cultivations
1007000078	bailing station
1007000078	bailing stational
1007000078	bailing stations
1007000078	barn
1007000078	cattle dipping tank
1007000078	cattle dipping tankic
1007000078	cattle dipping tanks
1007000078	corral
1007000078	corralic
1007000078	corrals
1007000078	cultivated
1007000078	cultivated area
1007000078	cultivated areal
1007000078	cultivated areas
1007000078	cultivated habitat
1007000078	cultivateds
1007000078	ENVO:00000077
1007000078	grange
1007000078	granges
1007000078	grazing allotment
1007000078	grazing allotments
1007000078	irrigated field
1007000078	irrigated fields
1007000078	pastoral site
1007000078	pastoral sites
1007000078	sheepfold
1007000078	sheepfolds
1007000078	stockyard
1007000078	stockyardic
1007000078	stockyards
1007000079	ENVO:00000078
1007000079	farm
1007000079	farmland
1007000079	farmlandic
1007000079	farmlands
1007000079	farms
1007000079	farmses
1007000079	farmsic
1007000079	farmstead
1007000079	farmsteadic
1007000079	farmsteads
1007000079	ranch
1007000079	ranches
1007000079	ranchic
1007000080	ENVO:00000079
1007000080	flumal
1007000080	flume
1007000080	flume (manmade)
1007000080	flumes
1007000081	cordillera
1007000081	cordilleral
1007000081	cordilleras
1007000081	ENVO:00000080
1007000081	MOUNT RANGE
1007000081	MOUNT RANGEs
1007000081	mountain chain
1007000081	mountain chains
1007000081	mountain group
1007000081	mountain groups
1007000081	mountain range
1007000081	mountain ranges
1007000081	mountain system
1007000081	mountain systems
1007000081	sierra
1007000081	sierral
1007000081	sierras
1007000082	cerro
1007000082	cerroes
1007000082	cordillera
1007000082	cordilleral
1007000082	cordilleras
1007000082	ENVO:00000081
1007000082	montane
1007000082	montanes
1007000082	montanous
1007000082	mountain
1007000082	mountainoal
1007000082	mountainoi
1007000082	mountainous
1007000082	mountainouses
1007000084	cerro
1007000084	cerroes
1007000084	ENVO:00000083
