_entities_1	_entities_2	_entities_3
1007000003	-27	ENVO:00000002
1007000013	-27	ENVO:00000012
1007000014	-27	ENVO:00000013
1007000015	-27	ENVO:00000014
1007000016	-27	ENVO:00000447
1007000017	-27	ENVO:00002030
1007000018	-27	ENVO:00000017
1007000019	-27	ENVO:00000018
1007000020	-27	ENVO:00000019
1007000021	-27	ENVO:00000020
1007000022	-27	ENVO:00000021
1007000023	-27	ENVO:01000253
1007000024	-27	ENVO:00000023
1007000026	-27	ENVO:00000025
1007000027	-27	ENVO:00000026
1007000029	-27	ENVO:00000028
1007000031	-27	ENVO:00000067
1007000032	-27	ENVO:00000031
1007000033	-27	ENVO:00000032
1007000034	-27	ENVO:00000033
1007000035	-27	ENVO:00000034
1007000036	-27	ENVO:00000035
1007000037	-27	ENVO:00000036
1007000039	-27	ENVO:00000038
1007000040	-27	ENVO:00000039
1007000041	-27	ENVO:00000040
1007000042	-27	ENVO:00000041
1007000043	-27	ENVO:00000042
1007000045	-27	ENVO:00000044
1007000046	-27	ENVO:01000020
1007000047	-27	ENVO:00000046
1007000048	-27	ENVO:00000047
1007000052	-27	ENVO:00000051
1007000053	-27	ENVO:00000052
1007000054	-27	ENVO:00000053
1007000055	-27	ENVO:00000054
1007000056	-27	ENVO:00002010
1007000057	-27	ENVO:00000033
1007000058	-27	ENVO:01000181
1007000059	-27	ENVO:00000058
1007000060	-27	ENVO:00000059
1007000061	-27	ENVO:00000060
1007000062	-27	ENVO:00000061
1007000063	-27	ENVO:00000002
1007000064	-27	ENVO:00000063
1007000068	-27	ENVO:00000067
1007000069	-27	ENVO:00000068
1007000070	-27	ENVO:00000069
1007000072	-27	ENVO:00000071
1007000073	-27	ENVO:00000072
1007000078	-27	ENVO:00000077
1007000079	-27	ENVO:00000078
1007000080	-27	ENVO:00000079
1007000081	-27	ENVO:00000080
1007000082	-27	ENVO:00000081
1007000084	-27	ENVO:00000083
1007000085	-27	ENVO:00000084
1007000086	-27	ENVO:00000085
1007000088	-27	ENVO:00000087
1007000089	-27	ENVO:00000088
1007000090	-27	ENVO:00000089
1007000091	-27	ENVO:01000687
1007000092	-27	ENVO:00000091
1007000093	-27	ENVO:00000092
1007000094	-27	ENVO:00000093
1007000096	-27	ENVO:00000095
1007000097	-27	ENVO:00000096
1007000098	-27	ENVO:01000179
1007000101	-27	ENVO:00000100
1007000102	-27	ENVO:00000101
1007000103	-27	ENVO:00000102
1007000105	-27	ENVO:00000447
1007000106	-27	ENVO:00000105
1007000107	-27	ENVO:01000177
1007000108	-27	ENVO:00000107
1007000109	-27	ENVO:00000108
1007000110	-27	ENVO:01000175
1007000111	-27	ENVO:00000110
1007000112	-27	ENVO:01000174
1007000113	-27	ENVO:01000180
1007000116	-27	ENVO:00000115
1007000119	-27	ENVO:00000118
1007000120	-27	ENVO:00000119
1007000121	-27	ENVO:00000120
1007000126	-27	ENVO:00000125
1007000127	-27	ENVO:00000126
1007000129	-27	ENVO:00000128
1007000130	-27	ENVO:00000129
1007000131	-27	ENVO:00000130
1007000133	-27	ENVO:01000277
1007000134	-27	ENVO:00000133
1007000138	-27	ENVO:00000137
1007000139	-27	ENVO:00000138
1007000140	-27	ENVO:00000139
1007000141	-27	ENVO:00000140
1007000143	-27	ENVO:00000142
1007000144	-27	ENVO:00000143
1007000145	-27	ENVO:00002030
1007000146	-27	ENVO:00000145
1007000147	-27	ENVO:00000146
1007000149	-27	ENVO:00000148
1007000150	-27	ENVO:00000149
1007000151	-27	ENVO:01000049
1007000152	-27	ENVO:00000151
1007000153	-27	ENVO:00000152
1007000154	-27	ENVO:00000153
1007000155	-27	ENVO:00000154
1007000156	-27	ENVO:00000155
1007000157	-27	ENVO:00000156
1007000158	-27	ENVO:00000157
1007000161	-27	ENVO:00000160
1007000162	-27	ENVO:00000161
1007000164	-27	ENVO:00000163
1007000167	-27	ENVO:00000166
1007000168	-27	ENVO:00000167
1007000170	-27	ENVO:00000169
1007000171	-27	ENVO:00000170
1007000172	-27	ENVO:00000171
1007000173	-27	ENVO:00000172
1007000174	-27	ENVO:00000173
1007000176	-27	ENVO:00000175
1007000178	-27	ENVO:00000177
1007000180	-27	ENVO:00000179
1007000182	-27	ENVO:00000081
1007000183	-27	ENVO:00000182
1007000184	-27	ENVO:00000183
1007000185	-27	ENVO:00000184
1007000186	-27	ENVO:00000185
1007000187	-27	ENVO:00000186
1007000188	-27	ENVO:00000187
1007000189	-27	ENVO:00000188
1007000190	-27	ENVO:00000189
1007000191	-27	ENVO:01000027
1007000193	-27	ENVO:00000192
1007000194	-27	ENVO:00000193
1007000195	-27	ENVO:00000194
1007000196	-27	ENVO:00000195
1007000197	-27	ENVO:00000196
1007000198	-27	ENVO:00000197
1007000199	-27	ENVO:00000198
1007000200	-27	ENVO:00000199
1007000201	-27	ENVO:00000200
1007000202	-27	ENVO:00000201
1007000203	-27	ENVO:00000202
1007000204	-27	ENVO:00000203
1007000205	-27	ENVO:00000204
1007000206	-27	ENVO:00000205
1007000207	-27	ENVO:00000206
1007000209	-27	ENVO:00000208
1007000210	-27	ENVO:00000209
1007000211	-27	ENVO:00000210
1007000212	-27	ENVO:00000211
1007000213	-27	ENVO:00000212
1007000214	-27	ENVO:00000213
1007000215	-27	ENVO:00000214
1007000217	-27	ENVO:00000216
1007000218	-27	ENVO:00000217
1007000219	-27	ENVO:00000218
1007000220	-27	ENVO:00000219
1007000224	-27	ENVO:00000223
1007000225	-27	ENVO:00000224
1007000226	-27	ENVO:00000225
1007000227	-27	ENVO:00000226
1007000228	-27	ENVO:00000227
1007000229	-27	ENVO:00000228
1007000230	-27	ENVO:00000229
1007000231	-27	ENVO:00000230
1007000232	-27	ENVO:00000231
1007000233	-27	ENVO:00000232
1007000234	-27	ENVO:00000233
1007000235	-27	ENVO:00000234
1007000236	-27	ENVO:00000235
1007000237	-27	ENVO:00000236
1007000238	-27	ENVO:00000237
1007000239	-27	ENVO:00000238
1007000240	-27	ENVO:00000239
1007000241	-27	ENVO:00000240
1007000242	-27	ENVO:00000241
1007000243	-27	ENVO:00000242
1007000244	-27	ENVO:00000243
1007000245	-27	ENVO:00000244
1007000246	-27	ENVO:00000245
1007000247	-27	ENVO:00000246
1007000248	-27	ENVO:00000247
1007000249	-27	ENVO:00000248
1007000250	-27	ENVO:00000249
1007000251	-27	ENVO:00000250
1007000252	-27	ENVO:00000251
1007000253	-27	ENVO:00000252
1007000254	-27	ENVO:00000253
1007000255	-27	ENVO:00000254
1007000256	-27	ENVO:00000255
1007000257	-27	ENVO:00000256
1007000258	-27	ENVO:00000257
1007000259	-27	ENVO:00000258
1007000260	-27	ENVO:00000259
1007000261	-27	ENVO:00000260
1007000262	-27	ENVO:00000261
1007000263	-27	ENVO:00000262
1007000264	-27	ENVO:00000263
1007000265	-27	ENVO:01000342
1007000266	-27	ENVO:00000265
1007000267	-27	ENVO:00000266
1007000268	-27	ENVO:00000267
1007000269	-27	ENVO:00000268
1007000271	-27	ENVO:00000270
1007000272	-27	ENVO:00000271
1007000274	-27	ENVO:00000273
1007000275	-27	ENVO:00000274
1007000276	-27	ENVO:00000275
1007000277	-27	ENVO:00000276
1007000278	-27	ENVO:00000277
1007000279	-27	ENVO:00000278
1007000280	-27	ENVO:00000279
1007000281	-27	ENVO:00000280
1007000282	-27	ENVO:00000281
1007000283	-27	ENVO:00000282
1007000285	-27	ENVO:00000284
1007000287	-27	ENVO:00000286
1007000288	-27	ENVO:00000287
1007000289	-27	ENVO:00000288
1007000290	-27	ENVO:00000289
1007000291	-27	ENVO:00000290
1007000297	-27	ENVO:00000296
1007000298	-27	ENVO:00000297
1007000299	-27	ENVO:00000298
1007000300	-27	ENVO:01000277
1007000301	-27	ENVO:00000300
1007000302	-27	ENVO:00000301
1007000303	-27	ENVO:00000100
1007000304	-27	ENVO:01000687
1007000305	-27	ENVO:00000304
1007000308	-27	ENVO:00000307
1007000309	-27	ENVO:00000308
1007000313	-27	ENVO:00000312
1007000314	-27	ENVO:00000313
1007000315	-27	ENVO:00000314
1007000316	-27	ENVO:00000315
1007000317	-27	ENVO:00000316
1007000318	-27	ENVO:00000317
1007000319	-27	ENVO:00000318
1007000320	-27	ENVO:00000319
1007000321	-27	ENVO:00000263
1007000322	-27	ENVO:00000321
1007000323	-27	ENVO:00000322
1007000324	-27	ENVO:00000323
1007000325	-27	ENVO:00000324
1007000326	-27	ENVO:00000325
1007000327	-27	ENVO:00000326
1007000328	-27	ENVO:00000327
1007000329	-27	ENVO:00000328
1007000330	-27	ENVO:00000329
1007000333	-27	ENVO:00000332
1007000334	-27	ENVO:00000333
1007000335	-27	ENVO:00000334
1007000336	-27	ENVO:00000335
1007000337	-27	ENVO:00000336
1007000343	-27	ENVO:00000342
1007000344	-27	ENVO:00000343
1007000348	-27	ENVO:00000347
1007000351	-27	ENVO:00000350
1007000353	-27	ENVO:00000352
1007000355	-27	ENVO:00000354
1007000356	-27	ENVO:00000355
1007000357	-27	ENVO:00000356
1007000371	-27	ENVO:00000370
1007000372	-27	ENVO:00000371
1007000373	-27	ENVO:00000372
1007000374	-27	ENVO:00000373
1007000378	-27	ENVO:01000252
1007000379	-27	ENVO:00000378
1007000380	-27	ENVO:00000380
1007000381	-27	ENVO:00000381
1007000382	-27	ENVO:00000382
1007000383	-27	ENVO:00000383
1007000384	-27	ENVO:00000384
1007000385	-27	ENVO:00000385
1007000386	-27	ENVO:00000386
1007000387	-27	ENVO:00000387
1007000389	-27	ENVO:00000389
1007000390	-27	ENVO:00000390
1007000392	-27	ENVO:00000392
1007000394	-27	ENVO:00000394
1007000395	-27	ENVO:00002150
1007000396	-27	ENVO:00000396
1007000397	-27	ENVO:00000397
1007000398	-27	ENVO:00000398
1007000399	-27	ENVO:00000399
1007000400	-27	ENVO:00000400
1007000401	-27	ENVO:00000401
1007000402	-27	ENVO:00000402
1007000404	-27	ENVO:00000404
1007000406	-27	ENVO:00000406
1007000407	-27	ENVO:00000407
1007000408	-27	ENVO:00000408
1007000410	-27	ENVO:00000410
1007000412	-27	ENVO:00000412
1007000413	-27	ENVO:00000413
1007000415	-27	ENVO:00000415
1007000416	-27	ENVO:00000416
1007000417	-27	ENVO:00000417
1007000418	-27	ENVO:00000418
1007000420	-27	ENVO:00000420
1007000422	-27	ENVO:00000422
1007000423	-27	ENVO:00000423
1007000425	-27	ENVO:00000425
1007000426	-27	ENVO:01000024
1007000429	-27	ENVO:00000429
1007000431	-27	ENVO:00000431
1007000432	-27	ENVO:00000432
1007000433	-27	ENVO:00000433
1007000434	-27	ENVO:00000434
1007000435	-27	ENVO:00000435
1007000436	-27	ENVO:00000436
1007000439	-27	ENVO:00000439
1007000440	-27	ENVO:00000440
1007000442	-27	ENVO:00000442
1007000444	-27	ENVO:00000444
1007000446	-27	ENVO:00000446
1007000447	-27	ENVO:00000447
1007000450	-27	ENVO:00000450
1007000451	-27	ENVO:00000451
1007000452	-27	ENVO:00000452
1007000453	-27	ENVO:00000453
1007000454	-27	ENVO:00000454
1007000455	-27	ENVO:00000455
1007000456	-27	ENVO:00000456
1007000458	-27	ENVO:00000458
1007000459	-27	ENVO:00000459
1007000460	-27	ENVO:00000460
1007000461	-27	ENVO:00000461
1007000462	-27	ENVO:00000462
1007000463	-27	ENVO:00000463
1007000464	-27	ENVO:00000464
1007000465	-27	ENVO:00000465
1007000470	-27	ENVO:00000470
1007000472	-27	ENVO:00000472
1007000473	-27	ENVO:00000473
1007000475	-27	ENVO:00000475
1007000476	-27	ENVO:00000476
1007000477	-27	ENVO:00000083
1007000483	-27	ENVO:00000483
1007000484	-27	ENVO:00000484
1007000485	-27	ENVO:00000485
1007000486	-27	ENVO:00000486
1007000487	-27	ENVO:00000487
1007000488	-27	ENVO:00000488
1007000489	-27	ENVO:00000489
1007000490	-27	ENVO:00000490
1007000491	-27	ENVO:00000491
1007000492	-27	ENVO:00000492
1007000493	-27	ENVO:00000493
1007000494	-27	ENVO:00000494
1007000495	-27	ENVO:00000495
1007000496	-27	ENVO:00000496
